配构件编号：	1
Floor	DS1	DS2	DS3	DS4
24	0.276	0.724	0	0	
25	0.231	0.769	0	0	


配构件编号：	19
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	1	0	0	0	
5	1	0	0	0	
6	1	0	0	0	
7	1	0	0	0	
8	1	0	0	0	
9	1	0	0	0	
10	1	0	0	0	
11	1	0	0	0	
12	1	0	0	0	
13	1	0	0	0	
14	1	0	0	0	
15	1	0	0	0	
16	1	0	0	0	
17	1	0	0	0	
18	1	0	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	1	0	0	0	
22	1	0	0	0	
23	1	0	0	0	
24	1	0	0	0	
25	1	0	0	0	


配构件编号：	20
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	0.998	0.002	0	0	
5	0.999	0.001	0	0	
6	1	0	0	0	
7	0.999	0.001	0	0	
8	0.997	0.003	0	0	
9	0.995	0.005	0	0	
10	0.995	0.005	0	0	
11	0.997	0.003	0	0	
12	0.997	0.003	0	0	
13	0.996	0.004	0	0	
14	0.996	0.004	0	0	
15	0.996	0.004	0	0	
16	0.996	0.004	0	0	
17	0.996	0.004	0	0	
18	0.998	0.002	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	0.999	0.001	0	0	
22	0.998	0.002	0	0	
23	0.999	0.001	0	0	
24	0.998	0.002	0	0	
25	0.997	0.003	0	0	


配构件编号：	21
Floor	DS1	DS2	DS3	DS4
1	0.998	0.002	0	0	
2	0.997	0.003	0	0	
3	0.996	0.004	0	0	
4	0.995	0.005	0	0	
5	0.993	0.007	0	0	
6	0.993	0.007	0	0	
7	0.993	0.007	0	0	
8	0.993	0.007	0	0	
9	0.991	0.009	0	0	
10	0.992	0.008	0	0	
11	0.992	0.008	0	0	
12	0.992	0.008	0	0	
13	0.991	0.009	0	0	
14	0.991	0.009	0	0	
15	0.992	0.008	0	0	
16	0.992	0.008	0	0	
17	0.992	0.008	0	0	
18	0.994	0.006	0	0	
19	0.995	0.005	0	0	
20	0.996	0.004	0	0	
21	0.996	0.004	0	0	
22	0.996	0.004	0	0	
23	0.995	0.005	0	0	
24	0.996	0.004	0	0	
25	0.994	0.006	0	0	


配构件编号：	22
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	1	0	0	0	
5	1	0	0	0	
6	1	0	0	0	
7	0.999	0.001	0	0	
8	0.999	0.001	0	0	
9	0.999	0.001	0	0	
10	0.999	0.001	0	0	
11	0.999	0.001	0	0	
12	0.999	0.001	0	0	
13	0.999	0.001	0	0	
14	1	0	0	0	
15	1	0	0	0	
16	1	0	0	0	
17	1	0	0	0	
18	1	0	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	1	0	0	0	
22	1	0	0	0	
23	1	0	0	0	
24	1	0	0	0	
25	1	0	0	0	


配构件编号：	23
