ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
198	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
199	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
200	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
201	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
202	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
203	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
204	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
205	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
206	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
207	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
208	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
209	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
210	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
211	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
212	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
213	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
214	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
215	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
216	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
217	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
218	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
219	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
220	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
221	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
222	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
223	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
224	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
225	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
226	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
227	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
228	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
229	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
230	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
231	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
232	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
233	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
234	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
235	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
236	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
237	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
238	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
239	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
240	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
241	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
242	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
243	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
244	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
245	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
246	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
247	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
248	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
249	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
250	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
251	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
252	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
253	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
254	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
255	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
256	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
257	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
258	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
259	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
260	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
261	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
262	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
263	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
264	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
265	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
266	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
267	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
268	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
269	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
270	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
271	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
272	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
273	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
274	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
275	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
276	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
277	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
278	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
279	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
280	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
281	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
282	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
283	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
284	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
285	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
286	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
287	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
288	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
289	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
290	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
291	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
292	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
293	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
294	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
295	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
296	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
297	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
298	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
299	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
300	2.331	1493804.928	1179790.019	1493804.928	0.7	308700000
301	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
302	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
303	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
304	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
305	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
306	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
307	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
308	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
309	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
310	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
311	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
312	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
313	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
314	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
315	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
316	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
317	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
